date,price,open,high,low,vol,change
7/9/2015,3861.9,3888.4,3941.3,3848.7,6.33M,-1.69%
8/9/2015,3994.2,3875.2,3994.2,3861.9,5.76M,3.43%
9/9/2015,4060.3,4047.1,4073.5,4007.4,10.08M,1.65%
10/9/2015,4020.6,4007.4,4060.3,3967.7,4.93M,-0.98%
11/9/2015,3928.1,4007.4,4020.6,3928.1,6.22M,-2.30%
14/09/2015,3875.2,3928.1,3954.5,3848.7,4.19M,-1.35%
15/09/2015,3861.9,3861.9,3888.4,3848.7,3.39M,-0.34%
16/09/2015,3928.1,3875.2,3928.1,3861.9,2.52M,1.71%
17/09/2015,3967.7,3941.3,4020.6,3941.3,4.30M,1.01%
18/09/2015,4073.5,4033.9,4086.8,4020.6,11.25M,2.67%
21/09/2015,4192.6,4060.3,4271.9,4020.6,15.21M,2.92%
22/09/2015,4205.8,4192.6,4232.2,4166.1,5.55M,0.31%
23/09/2015,4179.3,4166.1,4205.8,4139.7,7.52M,-0.63%
24/09/2015,4152.9,4192.6,4192.6,4139.7,7.14M,-0.63%
25/09/2015,4113.2,4126.4,4152.9,4100,3.58M,-0.96%
28/09/2015,3994.2,4100,4126.4,3994.2,7.10M,-2.89%
29/09/2015,3981,3967.7,3981,3928.1,7.10M,-0.33%
30/09/2015,4020.6,3994.2,4060.3,3994.2,3.91M,0.99%
1/10/2015,4060.3,4020.6,4060.3,4020.6,2.15M,0.99%
2/10/2015,4086.8,4060.3,4139.7,4060.3,6.38M,0.65%
5/10/2015,4152.9,4086.8,4152.9,4073.5,9.18M,1.62%
6/10/2015,4232.2,4192.6,4245.5,4166.1,22.66M,1.91%
7/10/2015,4166.1,4245.5,4245.5,4152.9,10.67M,-1.56%
8/10/2015,4258.7,4179.3,4271.9,4152.9,13.56M,2.22%
9/10/2015,4285.2,4285.2,4338.1,4245.5,11.22M,0.62%
12/10/2015,4338.1,4298.4,4364.5,4285.2,14.23M,1.23%
13/10/2015,4285.2,4311.6,4324.8,4285.2,6.38M,-1.22%
14/10/2015,4271.9,4285.2,4311.6,4271.9,8.50M,-0.31%
15/10/2015,4271.9,4285.2,4404.2,4271.9,17.97M,0.00%
16/10/2015,4232.2,4298.4,4338.1,4219,16.55M,-0.93%
19/10/2015,4232.2,4258.7,4258.7,4205.8,12.13M,0.00%
20/10/2015,4152.9,4232.2,4232.2,4139.7,12.20M,-1.87%
21/10/2015,4126.4,4152.9,4205.8,4113.2,8.01M,-0.64%
22/10/2015,4152.9,4113.2,4166.1,4113.2,6.23M,0.64%
23/10/2015,4205.8,4232.2,4232.2,4179.3,7.42M,1.27%
26/10/2015,4219,4219,4285.2,4219,9.69M,0.31%
27/10/2015,4192.6,4219,4232.2,4179.3,5.91M,-0.63%
28/10/2015,4152.9,4192.6,4205.8,4152.9,6.97M,-0.95%
29/10/2015,4166.1,4166.1,4205.8,4152.9,10.45M,0.32%
30/10/2015,4166.1,4166.1,4192.6,4152.9,7.39M,0.00%
2/11/2015,4126.4,4166.1,4166.1,4100,8.48M,-0.95%
3/11/2015,4166.1,4126.4,4166.1,4086.8,6.60M,0.96%
4/11/2015,4113.2,4179.3,4179.3,4086.8,8.03M,-1.27%
5/11/2015,4100,4113.2,4139.7,4100,4.60M,-0.32%
6/11/2015,4100,4100,4139.7,4073.5,6.54M,0.00%
9/11/2015,4060.3,4073.5,4113.2,4060.3,3.93M,-0.97%
10/11/2015,4033.9,4060.3,4073.5,4020.6,4.76M,-0.65%
11/11/2015,4007.4,4033.9,4047.1,4007.4,5.16M,-0.66%
12/11/2015,3981,4007.4,4020.6,3941.3,9.93M,-0.66%
13/11/2015,3981,3981,3994.2,3954.5,9.23M,0.00%
16/11/2015,3914.8,3994.2,3994.2,3914.8,8.60M,-1.66%
17/11/2015,3994.2,3914.8,4033.9,3914.8,14.22M,2.03%
18/11/2015,3981,4007.4,4020.6,3967.7,4.21M,-0.33%
19/11/2015,3941.3,3981,3981,3941.3,3.08M,-1.00%
20/11/2015,3954.5,3928.1,3981,3914.8,5.74M,0.33%
23/11/2015,3994.2,3967.7,4007.4,3967.7,6.82M,1.00%
24/11/2015,3981,3994.2,4020.6,3981,7.75M,-0.33%
25/11/2015,4113.2,3981,4113.2,3954.5,15.50M,3.32%
26/11/2015,4192.6,4152.9,4232.2,4126.4,19.91M,1.93%
27/11/2015,4139.7,4205.8,4245.5,4139.7,23.92M,-1.26%
30/11/2015,4033.9,4100,4100,4020.6,8.10M,-2.56%
1/12/2015,4007.4,4047.1,4060.3,4007.4,7.36M,-0.66%
2/12/2015,4047.1,4007.4,4060.3,4007.4,9.48M,0.99%
3/12/2015,4047.1,4047.1,4086.8,4033.9,4.65M,0.00%
4/12/2015,4007.4,4047.1,4047.1,3981,5.77M,-0.98%
7/12/2015,3954.5,3981,4007.4,3941.3,4.88M,-1.32%
8/12/2015,4007.4,3928.1,4020.6,3914.8,5.49M,1.34%
9/12/2015,3941.3,4007.4,4020.6,3941.3,3.75M,-1.65%
10/12/2015,3888.4,3928.1,3967.7,3888.4,7.55M,-1.34%
11/12/2015,3941.3,3901.6,3954.5,3888.4,6.00M,1.36%
14/12/2015,4047.1,4100,4100,4047.1,11.15M,2.68%
15/12/2015,4047.1,4033.9,4073.5,4033.9,9.89M,0.00%
16/12/2015,4033.9,4060.3,4060.3,4033.9,5.33M,-0.33%
17/12/2015,4020.6,4033.9,4047.1,4007.4,4.55M,-0.33%
18/12/2015,4020.6,4020.6,4060.3,3994.2,67.27M,0.00%
21/12/2015,3967.7,3994.2,3994.2,3941.3,6.23M,-1.32%
22/12/2015,3928.1,3954.5,3954.5,3914.8,3.08M,-1.00%
23/12/2015,3901.6,3941.3,3941.3,3888.4,4.70M,-0.67%
24/12/2015,3901.6,3901.6,3941.3,3901.6,1.63M,0.00%
25/12/2015,3901.6,3901.6,3928.1,3888.4,2.85M,0.00%
28/12/2015,3822.3,3901.6,3914.8,3822.3,7.08M,-2.03%
29/12/2015,3822.3,3835.5,3848.7,3795.8,3.29M,0.00%
30/12/2015,3875.2,3861.9,3901.6,3835.5,4.61M,1.38%
31/12/2015,3861.9,3875.2,3875.2,3822.3,2.76M,-0.34%
4/1/2016,3809,3848.7,3875.2,3809,2.86M,-1.37%
5/1/2016,3769.3,3795.8,3822.3,3769.3,4.44M,-1.04%
6/1/2016,3835.5,3769.3,3835.5,3769.3,4.65M,1.76%
7/1/2016,3729.7,3782.6,3795.8,3716.4,7.28M,-2.76%
8/1/2016,3663.5,3663.5,3716.4,3637.1,6.10M,-1.77%
11/1/2016,3663.5,3690,3690,3650.3,3.45M,0.00%
12/1/2016,3703.2,3650.3,3716.4,3650.3,2.43M,1.08%
13/01/2016,3637.1,3716.4,3716.4,3637.1,4.84M,-1.78%
14/01/2016,3504.8,3623.9,3623.9,3491.6,10.45M,-3.64%
15/01/2016,3372.6,3504.8,3518.1,3346.1,15.53M,-3.77%
18/01/2016,3280,3187.4,3293.2,3161,20.47M,-2.75%
19/01/2016,3332.9,3293.2,3372.6,3280,17.42M,1.61%
20/01/2016,3332.9,3319.7,3372.6,3266.8,14.05M,0.00%
21/01/2016,3372.6,3280,3372.6,3280,14.25M,1.19%
22/01/2016,3385.8,3385.8,3425.5,3346.1,19.46M,0.39%
25/01/2016,3597.4,3438.7,3610.6,3438.7,8.75M,6.25%
26/01/2016,3491.6,3504.8,3584.2,3478.4,9.18M,-2.94%
27/01/2016,3544.5,3531.3,3571,3518.1,8.60M,1.52%
28/01/2016,3504.8,3557.7,3597.4,3504.8,5.50M,-1.12%
29/01/2016,3637.1,3531.3,3637.1,3504.8,6.07M,3.77%
1/2/2016,3531.3,3637.1,3703.2,3531.3,6.04M,-2.91%
2/2/2016,3544.5,3504.8,3557.7,3491.6,2.05M,0.37%
3/2/2016,3544.5,3491.6,3557.7,3478.4,8.70M,0.00%
4/2/2016,3571,3557.7,3584.2,3557.7,1.25M,0.75%
5/2/2016,3571,3571,3597.4,3544.5,1.10M,0.00%
15/02/2016,3491.6,3571,3571,3438.7,7.30M,-2.22%
16/02/2016,3531.3,3491.6,3544.5,3491.6,3.46M,1.14%
17/02/2016,3531.3,3504.8,3544.5,3504.8,4.27M,0.00%
18/02/2016,3544.5,3544.5,3584.2,3544.5,3.55M,0.37%
19/02/2016,3571,3544.5,3584.2,3544.5,4.98M,0.75%
22/02/2016,3597.4,3557.7,3663.5,3557.7,7.71M,0.74%
23/02/2016,3597.4,3690,3690,3597.4,5.70M,0.00%
24/02/2016,3597.4,3597.4,3610.6,3544.5,4.73M,0.00%
25/02/2016,3610.6,3610.6,3690,3597.4,6.65M,0.37%
26/02/2016,3756.1,3623.9,3756.1,3610.6,13.15M,4.03%
29/02/2016,3690,3809,3809,3690,6.65M,-1.76%
1/3/2016,3623.9,3690,3690,3610.6,6.81M,-1.79%
2/3/2016,3597.4,3637.1,3650.3,3544.5,11.41M,-0.73%
3/3/2016,3571,3623.9,3637.1,3571,5.21M,-0.73%
4/3/2016,3637.1,3584.2,3663.5,3557.7,5.36M,1.85%
7/3/2016,3676.8,3650.3,3716.4,3637.1,15.55M,1.09%
8/3/2016,3822.3,3729.7,3875.2,3729.7,47.79M,3.96%
9/3/2016,3769.3,3835.5,3901.6,3769.3,18.87M,-1.39%
10/3/2016,3782.6,3782.6,3795.8,3756.1,8.80M,0.35%
11/3/2016,3809,3795.8,3848.7,3769.3,15.14M,0.70%
14/03/2016,3967.7,3835.5,3994.2,3835.5,27.33M,4.17%
15/03/2016,3967.7,3994.2,4033.9,3928.1,19.04M,0.00%
16/03/2016,3954.5,3994.2,3994.2,3941.3,11.54M,-0.33%
17/03/2016,3967.7,3994.2,4020.6,3954.5,14.83M,0.33%
18/03/2016,3928.1,3981,3981,3928.1,18.25M,-1.00%
21/03/2016,3941.3,3954.5,4007.4,3941.3,10.68M,0.34%
22/03/2016,3901.6,3954.5,3954.5,3901.6,11.32M,-1.01%
23/03/2016,3875.2,3875.2,3928.1,3848.7,11.13M,-0.68%
24/03/2016,3809,3861.9,3914.8,3809,12.42M,-1.71%
25/03/2016,3835.5,3809,3861.9,3795.8,12.04M,0.70%
28/03/2016,3954.5,3848.7,3954.5,3848.7,8.30M,3.10%
29/03/2016,3941.3,3967.7,4020.6,3941.3,14.44M,-0.33%
30/03/2016,3901.6,3928.1,3954.5,3901.6,11.15M,-1.01%
31/03/2016,3901.6,3901.6,3994.2,3888.4,17.38M,0.00%
1/4/2016,3835.5,3901.6,3914.8,3809,10.76M,-1.69%
4/4/2016,3861.9,3835.5,3901.6,3822.3,6.97M,0.69%
5/4/2016,3875.2,3861.9,3888.4,3848.7,3.79M,0.34%
6/4/2016,3994.2,3875.2,3994.2,3875.2,13.81M,3.07%
7/4/2016,3981,4020.6,4060.3,3981,19.08M,-0.33%
8/4/2016,4073.5,3981,4113.2,3967.7,50.00M,2.32%
11/4/2016,4166.1,4113.2,4192.6,4113.2,35.72M,2.27%
12/4/2016,4192.6,4166.1,4205.8,4152.9,20.13M,0.64%
13/04/2016,4113.2,4192.6,4192.6,4086.8,21.94M,-1.89%
14/04/2016,4152.9,4113.2,4205.8,4113.2,15.13M,0.97%
15/04/2016,4139.7,4179.3,4219,4139.7,19.31M,-0.32%
19/04/2016,4086.8,4152.9,4152.9,4086.8,21.52M,-1.28%
20/04/2016,4126.4,4126.4,4166.1,4073.5,19.87M,0.97%
21/04/2016,4166.1,4152.9,4232.2,4152.9,25.92M,0.96%
22/04/2016,4324.8,4179.3,4338.1,4166.1,30.56M,3.81%
25/04/2016,4364.5,4364.5,4430.6,4351.3,21.51M,0.92%
26/04/2016,4364.5,4338.1,4417.4,4298.4,21.32M,0.00%
27/04/2016,4324.8,4364.5,4364.5,4285.2,16.40M,-0.91%
28/04/2016,4298.4,4311.6,4338.1,4258.7,11.79M,-0.61%
29/04/2016,4430.6,4285.2,4430.6,4285.2,24.40M,3.08%
4/5/2016,4629,4483.5,4681.9,4470.3,45.23M,4.48%
5/5/2016,4629,4642.2,4867.1,4562.9,55.85M,0.00%
6/5/2016,4496.8,4576.1,4615.8,4483.5,28.95M,-2.86%
9/5/2016,4483.5,4549.7,4589.3,4483.5,24.41M,-0.30%
10/5/2016,4430.6,4430.6,4496.8,4404.2,34.89M,-1.18%
11/5/2016,4562.9,4496.8,4562.9,4483.5,17.64M,2.99%
12/5/2016,4496.8,4576.1,4589.3,4496.8,12.31M,-1.45%
13/05/2016,4404.2,4470.3,4483.5,4377.7,27.26M,-2.06%
16/05/2016,4391,4391,4404.2,4351.3,15.95M,-0.30%
17/05/2016,4443.9,4404.2,4470.3,4404.2,9.46M,1.20%
18/05/2016,4377.7,4457.1,4457.1,4377.7,12.52M,-1.49%
19/05/2016,4391,4377.7,4443.9,4364.5,12.19M,0.30%
20/05/2016,4391,4391,4404.2,4364.5,10.08M,0.00%
23/05/2016,4457.1,4391,4483.5,4377.7,8.12M,1.51%
24/05/2016,4457.1,4443.9,4510,4430.6,10.78M,0.00%
25/05/2016,4457.1,4470.3,4523.2,4443.9,13.01M,0.00%
26/05/2016,4391,4443.9,4470.3,4391,13.07M,-1.48%
27/05/2016,4404.2,4377.7,4430.6,4364.5,11.26M,0.30%
30/05/2016,4470.3,4417.4,4496.8,4417.4,22.41M,1.50%
31/05/2016,4470.3,4496.8,4523.2,4457.1,24.68M,0.00%
1/6/2016,4549.7,4470.3,4615.8,4443.9,40.14M,1.78%
2/6/2016,4655.5,4549.7,4668.7,4523.2,36.86M,2.33%
3/6/2016,4708.4,4708.4,4748.1,4668.7,45.64M,1.14%
6/6/2016,4681.9,4734.8,4853.9,4668.7,52.34M,-0.56%
7/6/2016,4801,4695.2,4801,4695.2,21.52M,2.54%
8/6/2016,4880.3,4853.9,4946.4,4827.4,26.31M,1.65%
9/6/2016,4853.9,4920,4920,4827.4,20.94M,-0.54%
10/6/2016,4893.5,4867.1,4959.7,4853.9,17.23M,0.82%
13/06/2016,4827.4,4880.3,4880.3,4801,20.68M,-1.35%
14/06/2016,5012.6,4814.2,5012.6,4787.7,24.32M,3.84%
15/06/2016,5025.8,5012.6,5118.4,4972.9,15.04M,0.26%
16/06/2016,5039,5025.8,5118.4,5025.8,19.87M,0.26%
17/06/2016,4946.4,5012.6,5065.5,4946.4,39.97M,-1.84%
20/06/2016,5078.7,5025.8,5078.7,4986.1,11.64M,2.67%
21/06/2016,5184.5,5131.6,5250.6,5131.6,25.50M,2.08%
22/06/2016,5237.4,5184.5,5277.1,5158.1,16.14M,1.02%
23/06/2016,5303.5,5224.2,5330,5224.2,28.39M,1.26%
24/06/2016,5131.6,5277.1,5290.3,4933.2,86.01M,-3.24%
27/06/2016,5158.1,5065.5,5158.1,4986.1,22.65M,0.52%
28/06/2016,5118.4,5105.2,5197.7,5091.9,12.93M,-0.77%
29/06/2016,5197.7,5131.6,5250.6,5118.4,31.48M,1.55%
30/06/2016,5237.4,5263.9,5330,5224.2,24.28M,0.76%
1/7/2016,5263.9,5263.9,5343.2,5250.6,39.96M,0.51%
4/7/2016,5277.1,5290.3,5316.8,5250.6,29.37M,0.25%
5/7/2016,5316.8,5330,5396.1,5303.5,34.80M,0.75%
